name,track_number,album_id,album_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url
Blues del Levante (En Vivo),5,NA,NA,5KIgl2XciNeJ9c2UL0tfeF,0.321,0.88,9,-12.978,1,0.194,0.0393,0.331,0.409,0.374,139.59,336813,4,spotify:track:5KIgl2XciNeJ9c2UL0tfeF,https://api.spotify.com/v1/audio-analysis/5KIgl2XciNeJ9c2UL0tfeF
Instituciones - En Vivo,1,4vW1SPHPXWIQ781Rb3cVbF,Adiós Sui Generis Vol.I,2H1cyilUsxFBC01Pm0jJP2,0.292,0.497,4,-14.482,0,0.084,0.298,0.00414,0.355,0.146,126.152,515000,4,spotify:track:2H1cyilUsxFBC01Pm0jJP2,https://api.spotify.com/v1/audio-analysis/2H1cyilUsxFBC01Pm0jJP2
La Fuga Del Paralítico - En Vivo,2,NA,NA,19HahPQLWlXiRdODdPxr8t,0.458,0.626,2,-13.82,1,0.0555,0.0931,0.662,0.259,0.46,93.355,456333,4,spotify:track:19HahPQLWlXiRdODdPxr8t,https://api.spotify.com/v1/audio-analysis/19HahPQLWlXiRdODdPxr8t
"Natalio Ruiz, El Hombrecito Del Sombrero Gris - En Vivo",3,NA,NA,5thYLSIwvgS6wpJWpu8WXL,0.188,0.295,0,-14.028,1,0.0518,0.602,8.06e-5,0.948,0.135,80.865,366000,1,spotify:track:5thYLSIwvgS6wpJWpu8WXL,https://api.spotify.com/v1/audio-analysis/5thYLSIwvgS6wpJWpu8WXL
Confesiones De Invierno - En vivo,4,NA,NA,7802aIsnTiFQjXztmfImvp,0.341,0.243,7,-16.527,1,0.0485,0.705,0,0.882,0.34,94.914,297467,4,spotify:track:7802aIsnTiFQjXztmfImvp,https://api.spotify.com/v1/audio-analysis/7802aIsnTiFQjXztmfImvp
Cancion Para Mi Muerte - En vivo,5,NA,NA,16C986QwdOCct6VJQt4q2d,0.359,0.334,7,-13,1,0.0337,0.789,0,0.71,0.256,125.758,234533,4,spotify:track:16C986QwdOCct6VJQt4q2d,https://api.spotify.com/v1/audio-analysis/16C986QwdOCct6VJQt4q2d
La Niña Juega En El Gran Jardín - En Vivo,6,NA,NA,42PnytWMpXLIHVSg8jiBFr,0.335,0.0752,2,-23.568,1,0.0417,0.558,0,0.13,0.265,112.781,345493,5,spotify:track:42PnytWMpXLIHVSg8jiBFr,https://api.spotify.com/v1/audio-analysis/42PnytWMpXLIHVSg8jiBFr
Zapando Con La Gente - En vivo,7,NA,NA,7vtW7VB1AWffUsYsqxoB3l,0.361,0.623,7,-12.41,1,0.11,0.274,5.16e-5,0.382,0.297,129.76,269840,4,spotify:track:7vtW7VB1AWffUsYsqxoB3l,https://api.spotify.com/v1/audio-analysis/7vtW7VB1AWffUsYsqxoB3l
Aprendizaje - En Vivo,8,NA,NA,1swsREn5YJiWxJ850CJome,0.385,0.333,7,-15.221,1,0.0363,0.283,7.42e-4,0.2,0.292,115.506,255173,4,spotify:track:1swsREn5YJiWxJ850CJome,https://api.spotify.com/v1/audio-analysis/1swsREn5YJiWxJ850CJome
Cuando Ya Me Empiece a Quedar Solo (En Vivo),1,3sIdQMiRs8LpbEUNmVJtGu,Adios Sui Generis Vol III,2U5f3Nvz1a8abpwjT8cqXC,0.305,0.113,7,-16.675,0,0.0367,0.738,6.26e-6,0.396,0.136,104.976,335333,4,spotify:track:2U5f3Nvz1a8abpwjT8cqXC,https://api.spotify.com/v1/audio-analysis/2U5f3Nvz1a8abpwjT8cqXC
Nena (En Vivo),2,NA,NA,63J9TquUM5nwtqIAWt2RIB,0.344,0.238,11,-15.664,1,0.037,0.602,4.17e-4,0.114,0.0736,147.321,487000,4,spotify:track:63J9TquUM5nwtqIAWt2RIB,https://api.spotify.com/v1/audio-analysis/63J9TquUM5nwtqIAWt2RIB
Bubulina (En Vivo),3,NA,NA,08x40uSvpUB3WFBvc31RSq,0.327,0.305,9,-15.235,0,0.0392,0.48,3.16e-4,0.89,0.0509,124.001,319000,3,spotify:track:08x40uSvpUB3WFBvc31RSq,https://api.spotify.com/v1/audio-analysis/08x40uSvpUB3WFBvc31RSq
Fabricante de Mentiras (En Vivo),4,NA,NA,2gCvh8N1JIYFiyQfqPasnc,0.302,0.23,2,-18.77,1,0.0414,0.484,0,0.446,0.251,133.767,351000,4,spotify:track:2gCvh8N1JIYFiyQfqPasnc,https://api.spotify.com/v1/audio-analysis/2gCvh8N1JIYFiyQfqPasnc
